AvgX,AvgY,AvgZ,MedianX,MedianY,MedianZ,2X,2Y,2Z,SkewX,SkewY,SkewZ,KurtosisX,KurtosisY,KurtosisZ,MinX,MinY,MinZ,MaxX,MaxY,MaxZ,Slope,MeanTA,2TA,SkewTA,KurtosisTA,AbsX,AbsY,AbsZ,AbsMeanX,AbsMeanY,AbsMeanZ,AbsMedianX,AbsMedianY,AbsMedianZ,Abs2X,Abs2Y,Abs2Z,AbsSkewX,AbsSkewY,AbsSkewZ,AbsKurtosisX,AbsKurtosisY,AbsKurtosisZ,AbsMinX,AbsMinY,AbsMinZ,AbsMaxX,AbsMaxY,AbsMaxZ,AbsSlope,MeanMag,2Mag,MinMag,MaxMag,DiffMinMaxMag,ZCR_Mag,AverageResultantAcceleration,label
7.079539732,0.292399611,3.763926418,8.33630994,-0.800636942,4.799376688,2.868002895,4.616585999,2.27458592,-1.821233133,0.624263646,-1.208977839,2.095675267,1.474741819,1.744394515,-1.464246544,-19.05475873,-2.214678686,12.26046018,12.17896785,12.73208245,37.24673031,0.084863067,0.581179256,1.25023184,0.832424723,2.082462578,3.167648661,1.702302905,7.17575031,2.984342438,4.117737591,8.33630994,0.9768343,4.799376688,2.617856838,3.533723069,1.543885421,-1.691355958,1.421007756,-0.187936447,1.597458318,0.973666258,3.097211363,0.009211084,0.011689838,0.018788817,12.26046018,19.05475873,12.73208245,25.96843107,99.06543479,37.25863503,29.54155769,567.9983122,538.4567545,0,99.06543479,1
7.173739364,1.640782197,4.361933048,7.536947,1.973893381,5.578870956,2.253994304,3.824002986,2.581553124,-1.826784544,-0.556382894,-1.406607477,5.85871285,3.952913377,1.501466835,-0.563200252,-18.76186142,-5.620789577,16.6005817,14.43704983,13.0527408,41.77874885,0.206154584,0.457067484,0.802664518,2.030220351,1.241011715,2.257091721,1.981638015,7.195929556,3.113175081,4.713574172,7.536947,2.15735559,5.579288789,2.182074497,2.760335783,1.863152866,-1.71357816,2.093217846,-0.848248222,5.702986476,4.585031046,0.940901525,0.00014305,0.009432174,0.008638193,16.6005817,18.76186142,13.0527408,28.23786073,99.53456449,41.25243455,30.95831022,514.2372506,483.2789404,0,99.53456449,1
7.330631507,2.381978748,3.417896881,8.192032636,3.039308052,4.317028724,2.640935907,4.069859366,2.199643574,-1.708481057,-0.890608674,-1.421373112,4.282875386,2.93148969,1.969069596,-1.612501212,-18.57413992,-5.3330129,17.31704951,16.09585013,10.9452206,42.72372861,0.280648032,0.484070021,0.129997476,0.93606561,1.661874313,2.56839039,1.613669075,7.419459521,4.023375751,3.8141165,8.192032636,3.062223029,4.317440955,2.37983384,2.45851817,1.404068712,-1.378987309,2.108278861,-0.480116827,3.818166724,5.144379133,2.570027753,0.063963454,0.017493986,0.009609001,17.31704951,18.57413992,10.9452206,27.59720435,99.45531596,40.96906013,20.5010908,523.7808673,503.2797765,0,99.45531596,1
-5.568553139,-0.2176354,6.616517364,-6.14831,-0.676445955,7.363430104,2.473055478,3.530614113,1.962967643,1.0751715,0.685424684,-1.548385003,5.515144248,4.745380353,9.152159584,-18.62200831,-18.92248977,-8.725407005,6.864371745,16.02666315,18.42691566,51.07100434,0.004057261,0.42382406,1.85990684,3.944417716,1.514838706,1.982302809,1.301824793,5.7581537,2.139199848,6.64858383,6.14831,0.700429281,7.363668127,1.991813132,2.816741745,1.851392035,0.076331442,2.21053883,-0.991061417,6.73227767,5.245096613,5.793986403,0.040386163,0.03791706,0.941755908,18.62200831,18.92248977,18.42691566,31.74326038,97.25709386,56.15712605,2.593038885,961.6895929,959.096554,0,97.25709386,1
-4.795033431,0.358093805,7.179029634,-5.434173534,0.013750227,7.892242425,2.168915172,3.643256251,2.230609495,1.192494871,-0.228065325,-1.157382882,6.527394111,5.767878329,5.038058215,-17.98762635,-19.30350163,0.354752453,5.566542229,15.66456658,19.10516443,46.14263323,0.073405121,0.439418114,1.252703852,3.364117653,1.333158699,1.877259218,1.426684246,5.00076498,1.672424702,7.179029634,5.434275664,0.065883542,7.892242425,1.639459532,3.256246042,2.230609495,0.338759253,2.158133083,-1.157382882,10.35739622,4.602297747,5.038058215,0.028368832,2.26E-05,0.354752453,17.98762635,19.30350163,19.10516443,32.35331793,97.60009688,63.150734,2.03228589,1033.791111,1031.758825,0,97.60009688,1
-5.612968579,-0.310741743,6.759636648,-6.213204486,-0.871448952,7.290830436,2.153986341,3.393321101,1.979618987,0.479527485,0.730299769,-0.998015689,6.781373651,5.337949527,5.559795515,-19.04553769,-18.5719166,-0.209318341,1.591009933,13.35311482,18.90871798,42.55084067,-0.010462793,0.441265394,1.628439365,4.677347945,1.327631743,1.865538667,1.199417616,5.650662301,2.088011322,6.75989406,6.213204486,0.888710972,7.290830436,2.053013655,2.692424317,1.97873935,-0.195041908,2.419741902,-0.995178393,7.342154543,6.00847365,5.554760863,0.066070063,0.030007547,0.015066342,19.04553769,18.5719166,18.90871798,32.57288221,97.35725937,57.62107439,1.239482269,997.1366313,995.897149,0,97.35725937,1
6.236608407,1.662960251,5.942824202,7.151539206,1.027821458,6.392172208,2.660107135,3.117969899,2.140058239,-2.186177826,0.215458931,-0.31683649,4.706399458,7.89873912,9.741163582,-4.631832121,-18.96497196,-5.484525112,15.88014973,13.47451801,19.09674064,45.57741255,0.21135414,0.381507157,1.773257395,3.692217728,1.705747395,1.730144075,1.141658431,6.524264977,2.176434547,5.991883596,7.151539206,1.035031524,6.392172208,1.844839107,2.783745179,1.998505037,-1.400623132,2.496304367,0.271079431,3.200003653,5.839454059,10.16150018,0.016820238,0.049735123,0.013999461,15.88014973,18.96497196,19.09674064,31.20228226,98.34405565,47.33113908,3.764804788,830.7122348,826.94743,0,98.34405565,1
6.170370956,0.850722939,6.1093167,6.951143661,0.17238252,6.668748536,2.456606521,3.725295583,2.257650673,-1.54612255,-0.046958246,-0.789022055,7.693618236,6.771051298,7.338454609,-11.39770731,-19.20374331,-6.517979559,18.05901284,16.76967874,18.67242364,52.88044884,0.140989876,0.449896423,1.695582359,3.353149257,1.552706586,2.01975112,1.310765137,6.27069338,1.724837769,6.174683774,6.951303139,0.18195933,6.668748536,2.187722658,3.409587577,2.072097485,-0.738812483,2.342262735,-0.169423894,4.443963312,4.970557303,6.90260368,0.039794639,0.001082035,0.000751348,18.05901284,19.20374331,18.67242364,32.28104352,101.1173201,59.47787624,21.19549159,854.8302013,833.6347097,0,101.1173201,1
7.507073738,0.711042063,4.672957356,8.277059657,0.178252367,4.987985379,2.379237931,3.1812443,1.98298797,-2.017469456,0.269007001,0.228815018,4.992241971,9.935590562,10.8451403,-1.595326819,-19.27650952,-1.759508377,15.43223489,15.5754313,17.7617345,43.42435447,0.109884553,0.397000532,2.030686913,5.74102731,1.499095969,1.578934598,0.979927449,7.55385618,1.353019954,4.776975401,8.277059657,0.183558672,4.987985379,2.226165682,2.965557748,1.717194869,-1.802963423,2.862741059,1.546724168,4.275286704,8.329859649,16.01383917,0.001166274,0.009188286,0.021902461,15.43223489,19.27650952,17.7617345,30.39817737,98.40118328,49.19746362,17.58408136,763.6523133,746.068232,0,98.40118328,1
-4.927893911,-0.011227823,6.885071118,-5.762120063,1.345366261,7.576233714,2.464321728,3.693038206,2.000642851,1.08142882,-0.305457752,-2.183502499,4.301031957,2.89866185,6.823521264,-18.26773645,-9.45200193,-0.691074028,2.432304291,16.84318607,17.75011069,38.21002345,-0.037731435,0.445884839,-1.448375164,2.429217067,1.687391811,2.600171001,1.212910641,5.200870138,2.596650207,6.924285714,5.762120063,1.395420114,7.576233714,1.818372697,2.625343826,1.860309528,0.361301464,2.160445345,-1.909744075,7.178989822,4.730760121,5.983184281,0.017201505,0.015833984,0.023360541,18.26773645,16.84318607,17.75011069,30.50376165,95.38967642,44.25903226,28.48183407,828.9030745,800.4212405,0,95.38967642,1
-6.869635686,2.866710344,-5.001344853,-7.854510725,2.456401648,-5.437657412,2.69395316,3.464818469,1.902597241,0.712557644,-1.402335859,1.23954473,3.319473497,9.295188361,5.51411914,-18.80885,-18.81683112,-17.3564597,1.296643991,10.84854245,3.731045432,41.5806223,0.354515414,0.424331024,1.113430645,2.344747811,1.846682319,1.821411766,1.133169571,6.911955503,3.614444216,5.060451718,7.854510725,2.460645837,5.437657412,2.583375252,2.675091903,1.739203024,-0.506775195,2.220355381,-0.843656578,3.243196015,5.123514975,5.635683212,0.012520496,0.010894435,0.008428828,18.80885,18.81683112,17.3564597,31.74774689,103.2929926,61.87180636,12.85237655,921.2624845,908.4101079,0,103.2929926,1
-8.155174099,-0.554747895,-3.781389222,-8.797005806,-1.508478096,-4.159750374,2.209911268,3.6292474,1.29181292,1.203605081,0.655028422,-0.620349466,6.774650583,3.93111842,17.54396026,-19.1433504,-17.83156544,-16.05128985,1.128913572,10.103531,0.631170039,38.3358679,-0.011428481,0.448360151,1.948247859,3.773195951,1.279229672,2.255931857,0.783289481,8.160830315,2.607738146,3.784552824,8.797005806,1.523846187,4.159750374,2.188919598,2.583646253,1.28250985,-1.138185136,2.435441919,0.691200645,6.625060452,5.984198395,17.88333622,0.131386131,0.009609857,0.00121583,19.1433504,17.83156544,16.05128985,30.6052571,100.8263398,54.07644723,3.159569793,711.0659562,707.9063864,0,100.8263398,1
2.543557374,-0.429087149,-8.404360501,3.113801577,-1.491177274,-9.327676887,1.624263331,3.932034693,2.596660617,-4.064618235,0.940949408,1.991477499,20.03586404,2.625705533,4.804515931,-11.54575051,-18.19524895,-18.7357,4.475605813,9.949919329,0.35159196,37.59200807,0.005555966,0.492114072,1.760387415,2.792032308,0.920429214,2.577870438,1.670634507,2.89856171,2.852668491,8.422043494,3.118000697,1.528147177,9.327676887,0.839755141,2.739142796,2.538688813,1.428409738,2.002646876,-1.922662749,19.92909731,3.414229513,4.582399856,0.001926168,0.037011423,0.000602117,11.54575051,18.19524895,18.7357,28.53042873,102.1151403,36.45095764,26.43662217,641.9685238,615.5319016,0,102.1151403,1
0.217267795,-1.829678352,-8.452829777,0.031916654,-2.701002567,-9.474592056,1.43180309,4.222203654,2.456227848,-4.300277268,1.287850257,1.532341758,43.64848196,1.919731748,4.337297621,-15.90521158,-17.62117313,-19.12959806,4.753252949,9.979731863,-0.106839805,39.37572151,-0.143607247,0.542568867,1.801910169,2.739467738,0.657943019,2.751409871,1.689433353,0.60721962,4.00404597,8.452829777,0.069477015,2.736479497,9.474592056,1.314676469,2.266146177,2.456227848,5.55696018,1.688554509,-1.532341758,47.55533849,2.95152877,4.337297621,0.000142719,0.176251469,0.106839805,15.90521158,17.62117313,19.12959806,30.31768195,100.7412431,43.92388462,17.78696852,723.9211913,706.1342228,0,100.7412431,1
3.033904331,-0.112211472,-8.357830146,3.667917,-0.667370897,-9.188198324,1.766384554,3.725945741,2.439191421,-3.418421752,0.590381865,1.873160205,15.08498385,3.129464306,5.617568824,-12.45262991,-17.71428788,-18.98454682,7.273572193,9.814124363,0.064025769,38.85594739,0.024302662,0.448211048,1.551454654,2.953465414,1.062658743,2.164534191,1.525006673,3.386519717,2.241153809,8.358497196,3.670416268,0.682384554,9.188198324,0.924628379,2.978213622,2.436903381,0.321858431,1.840222954,-1.869595331,11.51484364,2.593488796,5.607804696,0.04816028,0.001472792,0.000991352,12.45262991,17.71428788,18.98454682,28.77481647,102.0104039,36.81801615,27.33995585,635.3992685,608.0593127,0,102.0104039,1
4.352393483,2.165060692,7.650492431,4.695026259,2.046891797,8.177664191,2.054104783,2.65999167,2.264674074,-0.233491295,-0.202613322,-1.481068753,7.217832924,5.161808367,6.998781497,-2.840621584,-11.37126072,-3.057429637,15.80367236,10.83177874,18.47380717,36.11341601,0.257590624,0.333097945,1.576740584,4.974566017,1.073364596,1.231997808,1.245544403,4.542912511,2.777944053,7.680908508,4.695026259,2.052605418,8.177664191,1.588620361,2.011081653,2.159207746,2.007859556,2.423141618,-1.212713718,12.75529977,4.986135132,6.552455411,0.012130562,0.037777142,0.003000081,15.80367236,11.37126072,18.47380717,26.81401419,98.57571938,47.68085882,4.510733497,612.8158003,608.3050668,0,98.57571938,1
4.885103352,-0.73109785,-7.535571922,5.231698021,-0.392134481,-8.377422127,1.737498197,3.247224901,2.516168844,-1.507334628,0.200496268,2.209116878,13.80207225,7.877105253,5.61163423,-2.577889787,-11.04846418,-17.41107827,18.0615149,18.02009974,2.292524813,40.73325924,-0.116878066,0.39015048,-1.915968328,4.910790743,0.853538811,1.558863514,1.578054704,5.025443322,1.548738485,7.647563696,5.231698021,0.408737453,8.377422127,1.275647737,2.946072189,2.151689898,0.955094819,2.577056781,-1.746146891,25.74444896,6.084564133,4.132876485,0.153558541,0.002046149,0.036406008,18.0615149,18.02009974,17.41107827,30.77701078,101.0669502,49.01086149,8.761910636,911.3213713,902.5594606,0,101.0669502,1
